Name,Link
Music Liberal Arts Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10614&returnto=3288
Music Major with Concentrations in Merchandising or Business Administration,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10615&returnto=3288
Music Performance Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10617&returnto=3288
Nursing Major - Accelerated Second Degree,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10619&returnto=3288
Nursing Major - Baccalaureate Track for Students Entering with L.P.N./L.V.N. Licensure,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10620&returnto=3288
Nursing Major-Traditional Track for Students Entering without R.N. or L.P.N. Licensure,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10622&returnto=3288
Nutrition and Wellness,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10787&returnto=3288
Operations and Supply Chain Management Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10623&returnto=3288
Organizational Leadership and Supervision,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10499&returnto=3288
Packaging Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10624&returnto=3288
Philosophy Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10625&returnto=3288
Physical Education All Grade Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10627&returnto=3288
Physics Major - Bachelor of Arts,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10711&returnto=3288
Physics Major - Bachelor of Science,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10629&returnto=3288
Political Science Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10632&returnto=3288
Professional Aviation Flight Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10639&returnto=3288
Professional Sequence All Grade (Preschool-12) Education Programs (Fine Arts and English as a New Language),https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10640&returnto=3288
Psychology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10642&returnto=3288
Public Health Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10728&returnto=3288
Public Relations B.A.,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11163&returnto=3288
Safety Management Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10650&returnto=3288
Science Education Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10652&returnto=3288
Social Studies Education Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10654&returnto=3288
Social Work Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10655&returnto=3288
Special Education Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10676&returnto=3288
Sport Management,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10736&returnto=3288
Technology and Engineering Education Major–Secondary,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10663&returnto=3288
Theater Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10669&returnto=3288
Unmanned Systems Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10692&returnto=3288
